iter	Logloss
0	0.6197844982
1	0.560075235422	0.51497788433	0.4679240704
4	0.4330189705
55	0.4125549316
6	0.3877437115
7	0.3690310478
8	0.353049	0.3299888372
10	0.3131764174
11	0.2995848656
12	0.2888584614
13	0.213	0.2920014	0.2730569363
15	0.2659804821
16	0.2568562508
17	0.2509716988
18	0.2462008238
19	0.2403720379
20	0.2368201733
21	0.2338127851
22	0.2296230793
23	0.2273406744
24	0.2231604576
25	0.2187331676
26	0.2150123119
27	0.2100425482
28	0.2064192772
29	0.2048689604
30	0.2006228447
31	0.1978000879
3232	0.1937748553333	0.1911455034	34	0.1879545035	35	0.1853389936	0.1879209757
37	0.1860917807
38	0.1826895714
39	0.1801542282
40	0.1784660459
41	41	0.1691938142	0.1752019167
43	0.173489511
44	0.1711580992
45	0.1689014673
4646	0.1633115053
47	0.1607706904
48	0.1592162728
49	0.1558760643
50	0.153798151
51	0.1509228945
52	0.1506078362
53	0.1496973991
54	0.1483037472
55	0.1473241806
56	0.1445233107
57	0.1430161953
58	0.1412155867
59	0.1403588057
60	0.1387034535
61	0.1366519451
62	0.1350753069
63	0.1348334074
64	0.1329295516
65	0.1300008059
66	0.1292917728
67	0.1277106285
68	0.1263011932
69	0.1251876116
70	0.1240424991
71	0.1227790594
72	0.122416544
73	0.1215855598
74	0.1205195785
75	0.1186985016
76	0.1174818993
77	0.1174072266
78	0.1163148046
79	0.1158380985
80	0.1148813725
81	0.1135701418
82	0.1134215593
83	0.1132745266
84	0.1121477485
85	0.1111217022
86	0.1107945919
87	0.1097423077
88	0.1093608499
89	0.1090530872
90	0.1084759235
91	0.1063119888
92	0.1056092381
93	0.1044174194
94	0.1040072083
95	0.1026237249
96	0.1023487687
97	0.1019473314
98	0.1009686112
99	0.09929894805
100	0.09912216663
101	0.09872220755
102	0.09828454852
103	0.09680092335
104	0.09459546208
105	0.09250714779
106	0.09193869829
107	0.09107843637
108	109	0.09665254109	110	0.09594717110	111	0.09532251111	0.08714114428
112	0.08617494106
113	0.08478209376
114	0.08357325196
115	0.08242522478
116	0.08086168766
117	0.08062393665
118	0.07963011861
119	0.07884378433
120	0.07799426317
121	0.07665734291
122	0.07659083605
123	0.07647371888
124	0.07607821822
125	0.07598356009
126	0.07535395622
127	0.07524328232
128	0.07465299368
129	0.07401502132
130	0.07362989187
131	0.07341618538
132	0.07277041674
133	0.07115432024
134	0.07072925568
135	0.07067465782
